PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Year
893,1,Michael Jordan,1610612741,CHI,78,39.3,12.7,25.7,0.495,1.0,2.9,0.352,6.1,7.3,0.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,32.6,31.6,1992
1122,2,Dominique Wilkins,1610612737,ATL,71,37.3,10.4,22.3,0.468,1.7,4.5,0.38,7.3,8.8,0.828,2.6,4.2,6.8,3.2,1.0,0.4,2.6,29.9,25.2,1992
252,3,Karl Malone,1610612762,UTH,82,37.8,9.7,17.6,0.552,0.0,0.2,0.2,7.5,10.2,0.74,2.8,8.4,11.2,3.8,1.5,1.0,2.9,27.0,31.1,1992
165,4,Hakeem Olajuwon,1610612745,HOU,82,39.5,10.3,19.5,0.529,0.0,0.1,0.0,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,26.1,34.7,1992
787,5,Charles Barkley,1610612756,PHX,76,37.6,9.4,18.1,0.52,0.9,2.9,0.305,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,25.6,31.8,1992
121,6,Patrick Ewing,1610612752,NYK,81,37.1,9.6,19.1,0.503,0.0,0.1,0.143,4.9,6.9,0.719,2.4,9.7,12.1,1.9,0.9,2.0,3.3,24.2,26.3,1992
247,7,Joe Dumars,1610612765,DET,77,40.2,8.8,18.9,0.466,1.5,3.9,0.375,4.5,5.2,0.864,0.8,1.1,1.9,4.0,1.0,0.1,1.8,23.5,17.9,1992
406,8,Shaquille O'Neal,1610612753,ORL,81,37.9,9.0,16.1,0.562,0.0,0.0,0.0,5.3,8.9,0.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,23.4,28.9,1992
764,9,David Robinson,1610612759,SAN,82,39.2,8.2,16.4,0.501,0.0,0.2,0.176,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,23.4,29.8,1992
330,10,Danny Manning,1610612746,LAC,79,34.9,8.9,17.5,0.509,0.1,0.4,0.267,4.9,6.1,0.802,2.5,4.1,6.6,2.6,1.4,1.3,2.9,22.8,21.9,1992
77845,11,Drazen Petrovic,1610612751,NJN,70,38.0,8.4,16.2,0.518,1.1,2.4,0.449,4.5,5.2,0.87,0.6,2.1,2.7,3.5,1.3,0.2,2.9,22.3,18.7,1992
913,12,Larry Johnson,1610612766,CHH,82,40.5,8.9,16.9,0.526,0.2,0.9,0.254,4.1,5.3,0.767,3.4,7.1,10.5,4.3,0.6,0.3,2.8,22.1,25.9,1992
896,13,Tim Hardaway,1610612744,GOS,66,39.5,7.9,17.7,0.447,1.5,4.7,0.33,4.1,5.6,0.744,0.9,3.1,4.0,10.6,1.8,0.2,3.3,21.5,23.5,1992
397,14,Reggie Miller,1610612754,IND,82,36.0,7.0,14.5,0.479,2.0,5.1,0.399,5.2,5.9,0.88,0.8,2.3,3.1,3.2,1.5,0.3,1.8,21.2,19.2,1992
297,15,Alonzo Mourning,1610612766,CHH,78,33.9,7.3,14.3,0.511,0.0,0.0,0.0,6.3,8.1,0.781,3.4,6.9,10.3,1.0,0.3,3.5,3.0,21.0,24.3,1992
77384,16,Reggie Lewis,1610612738,BOS,80,39.3,8.3,17.6,0.47,0.2,0.8,0.233,4.1,4.7,0.867,1.1,3.2,4.3,3.7,1.5,1.0,1.7,20.8,19.7,1992
934,17,Derrick Coleman,1610612751,NJN,76,36.3,7.4,16.1,0.46,0.3,1.3,0.232,5.5,6.9,0.808,3.3,8.0,11.2,3.6,1.2,1.7,3.2,20.7,25.2,1992
765,18,Hersey Hawkins,1610612755,PHL,81,36.8,6.8,14.5,0.47,1.5,3.8,0.397,5.2,6.0,0.86,1.1,3.1,4.3,3.9,1.7,0.4,2.2,20.3,19.8,1992
921,19,Brad Daugherty,1610612739,CLE,71,37.9,7.3,12.8,0.571,0.0,0.0,0.5,5.5,6.9,0.795,2.3,7.9,10.2,4.4,0.7,0.8,2.1,20.2,27.3,1992
98,20,Nick Anderson,1610612753,ORL,79,37.0,7.5,16.8,0.449,1.1,3.2,0.353,3.8,5.1,0.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,19.9,19.0,1992
28,21,Doug West,1610612750,MIN,80,38.8,8.1,15.6,0.517,0.0,0.3,0.087,3.1,3.7,0.841,1.1,2.0,3.1,2.9,1.1,0.3,2.1,19.3,16.5,1992
51,22,Mahmoud Abdul-Rauf,1610612743,DEN,81,33.5,7.8,17.4,0.45,0.9,2.4,0.355,2.7,2.9,0.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,19.2,15.3,1992
361,23,Clifford Robinson,1610612757,POR,82,31.4,7.7,16.3,0.473,0.2,0.9,0.247,3.5,5.1,0.69,2.0,4.6,6.6,2.2,1.2,2.0,2.1,19.1,18.9,1992
204,24,Jeff Hornacek,1610612755,PHL,79,36.2,7.4,15.7,0.47,1.2,3.2,0.39,3.2,3.7,0.865,1.1,3.3,4.3,6.9,1.7,0.3,2.8,19.1,20.7,1992
96,25,Detlef Schrempf,1610612754,IND,82,37.8,6.3,13.2,0.476,0.1,0.6,0.154,6.4,8.0,0.804,2.6,7.0,9.5,6.0,1.0,0.3,3.0,19.1,24.5,1992
779,26,Glen Rice,1610612748,MIA,82,37.6,7.1,16.1,0.44,1.8,4.7,0.383,3.0,3.6,0.82,1.1,4.0,5.2,2.2,1.1,0.3,1.9,19.0,16.1,1992
937,27,Scottie Pippen,1610612741,CHI,81,38.6,7.8,16.4,0.473,0.3,1.1,0.237,2.9,4.3,0.663,2.5,5.2,7.7,6.3,2.1,0.9,3.0,18.6,22.5,1992
265,28,Harvey Grant,1610612764,WAS,72,37.0,7.8,16.0,0.487,0.0,0.1,0.1,3.0,4.2,0.727,1.8,3.9,5.7,2.8,1.0,0.6,1.3,18.6,18.2,1992
345,29,Terry Porter,1610612757,POR,81,35.6,6.2,13.7,0.454,1.8,4.3,0.414,4.0,4.8,0.843,0.7,3.2,3.9,5.2,1.2,0.1,2.5,18.2,18.0,1992
