PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Year
893,1,Michael Jordan,1610612741,CHI,82,37.7,11.2,22.6,0.495,1.4,3.2,0.427,6.7,8.0,0.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,30.4,28.9,1995
165,2,Hakeem Olajuwon,1610612745,HOU,72,38.8,10.7,20.8,0.514,0.0,0.2,0.214,5.5,7.6,0.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,26.9,30.2,1995
406,3,Shaquille O'Neal,1610612753,ORL,54,36.0,11.0,19.1,0.573,0.0,0.0,0.5,4.6,9.5,0.487,3.4,7.7,11.0,2.9,0.6,2.1,2.9,26.6,27.3,1995
252,4,Karl Malone,1610612762,UTH,82,38.0,9.6,18.5,0.519,0.2,0.5,0.4,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,25.7,28.3,1995
764,5,David Robinson,1610612759,SAN,82,36.8,8.7,16.8,0.516,0.0,0.1,0.333,7.6,10.0,0.761,3.9,8.3,12.2,3.0,1.4,3.3,2.3,25.0,32.0,1995
787,6,Charles Barkley,1610612756,PHX,71,37.1,8.2,16.3,0.5,0.7,2.5,0.28,6.2,8.0,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,23.2,27.9,1995
297,7,Alonzo Mourning,1610612748,MIA,70,38.2,8.0,15.4,0.523,0.1,0.4,0.3,7.0,10.2,0.685,3.1,7.3,10.4,2.3,1.0,2.7,3.7,23.2,25.3,1995
782,8,Mitch Richmond,1610612758,SAC,81,36.4,7.5,16.9,0.447,2.8,6.4,0.437,5.2,6.1,0.866,0.7,2.7,3.3,3.1,1.5,0.2,2.7,23.1,18.5,1995
121,9,Patrick Ewing,1610612752,NYK,76,36.6,8.9,19.2,0.466,0.1,0.4,0.143,4.6,6.1,0.761,2.1,8.5,10.6,2.1,0.9,2.4,2.9,22.5,23.9,1995
436,10,Juwan Howard,1610612764,WAS,81,40.7,9.0,18.5,0.489,0.0,0.2,0.308,3.9,5.3,0.749,2.3,5.8,8.1,4.4,0.8,0.5,3.7,22.1,21.5,1995
358,11,Anfernee Hardaway,1610612753,ORL,82,36.8,7.6,14.8,0.513,1.1,3.5,0.314,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2.0,0.5,2.8,21.7,24.0,1995
779,12,Glen Rice,1610612766,CHH,79,39.8,7.7,16.4,0.471,2.2,5.1,0.424,4.0,4.8,0.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,21.6,19.2,1995
76,13,Cedric Ceballos,1610612747,LAL,78,33.7,8.2,15.4,0.53,0.7,2.4,0.277,4.2,5.2,0.804,2.8,4.1,6.9,1.5,1.2,0.3,2.1,21.2,20.7,1995
397,14,Reggie Miller,1610612754,IND,76,34.5,6.6,14.0,0.473,2.2,5.4,0.41,5.7,6.6,0.863,0.5,2.3,2.8,3.3,1.0,0.2,2.5,21.1,17.7,1995
452,15,Vin Baker,1610612749,MIL,82,40.5,8.5,17.4,0.489,0.1,0.6,0.208,3.9,5.8,0.67,3.2,6.6,9.9,2.6,0.8,1.1,2.6,21.1,22.0,1995
361,16,Clifford Robinson,1610612757,POR,78,38.2,7.1,16.7,0.423,2.3,6.0,0.378,4.6,6.9,0.664,1.6,4.1,5.7,2.4,1.1,0.9,2.5,21.1,16.7,1995
913,17,Larry Johnson,1610612766,CHH,81,40.4,7.2,15.1,0.476,0.8,2.3,0.366,5.3,7.0,0.757,3.1,5.4,8.4,4.4,0.7,0.5,2.2,20.5,22.7,1995
299,18,Glenn Robinson,1610612749,MIL,82,39.6,7.6,16.9,0.454,1.1,3.2,0.342,3.9,4.7,0.812,1.7,4.5,6.1,3.6,1.2,0.5,3.4,20.2,18.1,1995
255,19,Grant Hill,1610612765,DET,80,40.8,7.1,15.3,0.462,0.1,0.3,0.192,6.1,8.1,0.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,20.2,25.2,1995
251,20,Sean Elliott,1610612759,SAN,77,37.7,6.8,14.6,0.466,2.1,5.1,0.411,4.2,5.5,0.771,0.9,4.2,5.1,2.7,0.9,0.4,2.6,20.0,17.5,1995
275,21,Allan Houston,1610612765,DET,82,37.5,6.9,15.2,0.453,2.3,5.5,0.427,3.6,4.4,0.823,0.7,3.0,3.7,3.0,0.7,0.2,2.8,19.7,15.5,1995
431,22,Shawn Kemp,1610612760,SEA,79,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,19.6,24.7,1995
375,23,Isaiah Rider,1610612750,MIN,75,34.6,7.5,16.1,0.464,1.4,3.7,0.371,3.3,3.9,0.838,1.3,2.8,4.1,2.8,0.6,0.3,2.7,19.6,15.6,1995
754,24,Jim Jackson,1610612742,DAL,82,34.4,6.9,16.0,0.435,1.5,4.1,0.363,4.2,5.1,0.825,2.1,2.9,5.0,2.9,0.6,0.3,2.3,19.6,16.0,1995
937,25,Scottie Pippen,1610612741,CHI,77,36.7,7.3,15.8,0.463,1.9,5.2,0.374,2.9,4.2,0.679,2.0,4.5,6.4,5.9,1.7,0.7,2.7,19.4,21.7,1995
210,26,Terrell Brandon,1610612739,CLE,75,34.3,6.8,14.6,0.465,1.2,3.1,0.387,4.5,5.1,0.887,0.6,2.7,3.3,6.5,1.8,0.4,1.9,19.3,21.0,1995
56,27,Gary Payton,1610612760,SEA,81,39.0,7.6,15.8,0.484,1.2,3.7,0.328,2.8,3.8,0.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,19.3,21.8,1995
711,28,Jerry Stackhouse,1610612755,PHL,72,37.5,6.3,15.2,0.414,1.3,4.1,0.318,5.4,7.2,0.747,1.3,2.4,3.7,3.9,1.1,1.1,3.5,19.2,14.7,1995
757,29,Damon Stoudamire,1610612761,TOR,70,40.9,6.9,16.1,0.426,1.9,4.8,0.395,3.4,4.2,0.797,0.8,3.2,4.0,9.3,1.4,0.3,3.8,19.0,20.1,1995
45,30,George McCloud,1610612742,DAL,79,36.0,6.7,16.2,0.414,3.3,8.6,0.379,2.3,2.8,0.804,1.5,3.3,4.8,2.7,1.4,0.5,2.1,18.9,16.2,1995
84,31,Latrell Sprewell,1610612744,GOS,78,39.3,6.6,15.4,0.428,1.2,3.6,0.323,4.5,5.7,0.789,1.6,3.3,4.9,4.2,1.6,0.6,2.8,18.9,17.3,1995
288,32,Armen Gilliam,1610612751,NJN,78,36.6,7.4,15.6,0.474,0.0,0.0,0.0,3.6,4.5,0.791,3.1,6.1,9.1,1.8,0.9,0.7,2.3,18.3,19.5,1995
120,33,Steven Smith,1610612737,ATL,80,35.7,6.2,14.3,0.432,1.8,5.3,0.331,4.0,4.8,0.826,1.6,2.5,4.1,2.8,0.9,0.2,1.9,18.1,15.2,1995
192,34,Dennis Scott,1610612753,ORL,82,37.1,6.0,13.6,0.44,3.3,7.7,0.425,2.2,2.7,0.82,0.8,3.0,3.8,3.0,1.1,0.4,1.5,17.5,16.0,1995
221,35,Clar. Weatherspoon,1610612755,PHL,78,39.7,6.3,13.0,0.484,0.0,0.0,0.0,4.1,5.5,0.746,3.0,6.6,9.7,2.0,1.4,1.4,2.3,16.7,20.8,1995
467,36,Jason Kidd,1610612742,DAL,81,37.5,6.1,16.0,0.381,1.6,4.9,0.336,2.8,4.1,0.692,2.5,4.3,6.8,9.7,2.2,0.3,4.0,16.6,20.4,1995
363,37,Christian Laettner,1610612737,ATL,74,33.7,6.0,12.3,0.487,0.1,0.5,0.231,4.4,5.4,0.818,2.5,4.8,7.3,2.7,1.0,1.0,2.5,16.4,18.5,1995
137,38,Vernon Maxwell,1610612755,PHL,75,32.9,5.5,14.0,0.39,1.9,6.1,0.317,3.3,4.4,0.756,0.5,2.5,3.1,4.4,1.3,0.2,2.9,16.2,12.6,1995
