PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Year
764,1,David Robinson,1610612759,SAN,80,40.5,10.5,20.7,0.507,0.1,0.4,0.345,8.7,11.6,0.749,3.0,7.7,10.7,4.8,1.7,3.3,3.2,29.8,34.0,1993
406,2,Shaquille O'Neal,1610612753,ORL,81,39.8,11.8,19.6,0.599,0.0,0.0,0.0,5.8,10.5,0.554,4.7,8.5,13.2,2.4,0.9,2.9,2.7,29.3,33.5,1993
165,3,Hakeem Olajuwon,1610612745,HOU,80,41.0,11.2,21.2,0.528,0.1,0.2,0.421,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,27.3,32.8,1993
1122,4,Dominique Wilkins,1610612746,LAC,74,35.6,9.4,21.5,0.44,1.1,4.0,0.288,6.0,7.1,0.847,2.5,4.0,6.5,2.3,1.2,0.4,2.3,26.0,21.0,1993
252,5,Karl Malone,1610612762,UTH,82,40.6,9.4,18.9,0.497,0.1,0.4,0.25,6.2,9.0,0.694,2.9,8.6,11.5,4.0,1.5,1.5,2.9,25.2,28.6,1993
121,6,Patrick Ewing,1610612752,NYK,79,37.6,9.4,19.0,0.496,0.1,0.2,0.286,5.6,7.4,0.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,24.5,27.3,1993
782,7,Mitch Richmond,1610612758,SAC,78,37.1,8.1,18.3,0.445,1.6,4.0,0.407,5.5,6.6,0.834,0.9,2.8,3.7,4.0,1.3,0.2,2.8,23.4,18.6,1993
937,8,Scottie Pippen,1610612741,CHI,72,38.3,8.7,17.8,0.491,0.9,2.7,0.32,3.8,5.7,0.66,2.4,6.3,8.7,5.6,2.9,0.8,3.2,22.0,25.9,1993
787,9,Charles Barkley,1610612756,PHX,65,35.4,8.0,16.1,0.495,0.7,2.7,0.27,4.9,7.0,0.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,21.6,26.1,1993
779,10,Glen Rice,1610612748,MIA,81,37.0,8.2,17.5,0.467,1.6,4.3,0.382,3.1,3.5,0.88,0.9,4.4,5.4,2.3,1.4,0.4,1.6,21.1,19.1,1993
84,11,Latrell Sprewell,1610612744,GOS,82,43.1,7.5,17.3,0.433,1.7,4.8,0.361,4.3,5.6,0.774,1.0,3.9,4.9,4.7,2.2,0.9,2.8,21.0,19.9,1993
330,12,Danny Manning,1610612737,ATL,68,37.1,8.6,17.7,0.488,0.0,0.3,0.176,3.4,5.0,0.669,1.9,4.9,6.8,3.8,1.5,1.2,3.4,20.6,19.8,1993
247,13,Joe Dumars,1610612765,DET,69,37.6,7.3,16.2,0.452,1.8,4.6,0.388,4.0,4.8,0.836,0.5,1.7,2.2,3.8,0.9,0.1,2.3,20.4,15.4,1993
934,14,Derrick Coleman,1610612751,NJN,77,36.1,7.0,15.7,0.447,0.5,1.6,0.314,5.7,7.4,0.774,3.4,7.9,11.3,3.4,0.9,1.8,2.7,20.2,24.6,1993
166,15,Ron Harper,1610612746,LAC,75,38.1,7.6,17.8,0.426,0.9,3.1,0.301,4.0,5.6,0.715,1.7,4.4,6.1,4.6,1.9,0.7,3.2,20.1,18.4,1993
361,16,Clifford Robinson,1610612757,POR,82,34.8,7.8,17.1,0.457,0.2,0.6,0.245,4.3,5.6,0.765,2.0,4.7,6.7,1.9,1.4,1.4,2.1,20.1,18.8,1993
397,17,Reggie Miller,1610612754,IND,79,33.4,6.6,13.2,0.503,1.6,3.7,0.421,5.1,5.6,0.908,0.4,2.3,2.7,3.1,1.5,0.3,2.2,19.9,18.3,1993
754,18,Jim Jackson,1610612742,DAL,82,37.4,7.8,17.5,0.445,0.2,0.7,0.283,3.5,4.2,0.821,2.1,2.7,4.7,4.6,1.1,0.3,4.1,19.2,15.4,1993
469,19,Jamal Mashburn,1610612742,DAL,79,36.7,7.1,17.5,0.406,1.1,3.8,0.284,3.9,5.5,0.699,1.4,3.1,4.5,3.4,1.1,0.2,3.1,19.2,13.1,1993
788,20,Kevin Willis,1610612737,ATL,80,35.8,7.8,15.7,0.499,0.1,0.3,0.375,3.4,4.7,0.713,4.2,7.9,12.0,1.9,1.0,0.5,2.4,19.1,22.9,1993
72,21,Kenny Anderson,1610612751,NJN,82,38.2,7.0,16.8,0.417,0.5,1.6,0.303,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,18.8,20.4,1993
221,22,Clar. Weatherspoon,1610612755,PHL,82,38.4,7.3,15.2,0.483,0.0,0.2,0.235,3.6,5.2,0.693,3.1,7.0,10.1,2.3,1.2,1.4,2.4,18.4,21.6,1993
931,23,Don MacLean,1610612764,WAS,75,33.2,6.9,13.7,0.502,0.0,0.3,0.143,4.4,5.3,0.824,1.9,4.4,6.2,2.1,0.6,0.3,2.0,18.2,17.7,1993
