PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Year
406,1,Shaquille O'Neal,1610612753,ORL,79,37.0,11.8,20.2,0.583,0.0,0.1,0.0,5.8,10.8,0.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,29.3,30.7,1994
165,2,Hakeem Olajuwon,1610612745,HOU,72,39.6,11.1,21.5,0.517,0.0,0.2,0.188,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,27.8,31.9,1994
764,3,David Robinson,1610612759,SAN,81,38.0,9.7,18.4,0.53,0.1,0.2,0.3,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,27.6,32.4,1994
252,4,Karl Malone,1610612762,UTH,82,38.1,10.1,18.9,0.536,0.1,0.5,0.268,6.3,8.5,0.742,1.9,8.7,10.6,3.5,1.6,1.0,2.9,26.7,29.6,1994
469,5,Jamal Mashburn,1610612742,DAL,80,37.3,8.5,19.6,0.436,1.4,4.3,0.328,5.6,7.6,0.739,1.5,2.7,4.1,3.7,1.0,0.1,2.9,24.1,17.1,1994
121,6,Patrick Ewing,1610612752,NYK,79,37.0,9.2,18.4,0.503,0.1,0.3,0.286,5.3,7.1,0.75,2.0,9.0,11.0,2.7,0.9,2.0,3.2,23.9,26.3,1994
787,7,Charles Barkley,1610612756,PHX,68,35.0,8.1,16.8,0.486,1.1,3.2,0.338,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,23.0,27.7,1994
782,8,Mitch Richmond,1610612758,SAC,82,38.7,8.1,18.3,0.446,1.9,5.2,0.368,4.6,5.4,0.843,0.8,3.5,4.4,3.8,1.1,0.4,2.9,22.8,18.6,1994
779,9,Glen Rice,1610612748,MIA,82,36.8,8.1,17.1,0.475,2.3,5.5,0.41,3.8,4.5,0.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,22.3,19.3,1994
299,10,Glenn Robinson,1610612749,MIL,80,37.0,8.0,17.6,0.451,1.1,3.4,0.321,5.0,6.2,0.796,2.1,4.3,6.4,2.5,1.4,0.3,3.9,21.9,17.7,1994
17,11,Clyde Drexler,1610612745,HOU,76,35.9,7.5,16.3,0.461,1.9,5.4,0.36,4.8,5.8,0.824,2.0,4.3,6.3,4.8,1.8,0.6,2.4,21.8,23.0,1994
937,12,Scottie Pippen,1610612741,CHI,79,38.2,8.0,16.7,0.48,1.4,4.0,0.345,4.0,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,21.4,25.1,1994
361,13,Clifford Robinson,1610612757,POR,75,36.3,8.0,17.6,0.452,1.9,5.1,0.371,3.5,5.1,0.694,2.0,3.6,5.6,2.6,1.1,1.1,2.1,21.3,18.5,1994
297,14,Alonzo Mourning,1610612766,CHH,77,38.2,7.4,14.3,0.519,0.1,0.4,0.324,6.4,8.4,0.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,21.3,24.2,1994
358,15,Anfernee Hardaway,1610612753,ORL,77,37.7,7.6,14.8,0.512,1.1,3.2,0.349,4.6,6.0,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,20.9,22.5,1994
56,16,Gary Payton,1610612760,SEA,82,36.8,8.4,16.4,0.509,0.9,2.8,0.302,3.0,4.2,0.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,20.6,22.1,1994
